timw (s),Mesh1,Mesh2,Mesh3,Mesh4,Analytical
319,301.8284629,301.7299743,301.8076406,301.6924695,301.7716735
320,301.8377725,301.7389997,301.8168984,301.7013883,301.7808325
321,301.847086,301.7480297,301.8261603,301.710312,301.7899958
322,301.8564033,301.7570645,301.8354262,301.7192407,301.7991634
323,301.8657245,301.7661037,301.8446961,301.7281741,301.8083352
324,301.8750494,301.7751475,301.8539698,301.7371124,301.8175111
325,301.8843781,301.7841957,301.8632474,301.7460553,301.8266911
326,301.8937103,301.7932482,301.8725287,301.7550028,301.8358751
327,301.9030461,301.802305,301.8818137,301.7639549,301.8450631
328,301.9123853,301.811366,301.8911023,301.7729115,301.8542549
329,301.921728,301.8204312,301.9003944,301.7818725,301.8634505
330,301.9310741,301.8295005,301.9096901,301.7908379,301.8726499
331,301.9404234,301.8385738,301.9189892,301.7998076,301.8818529
332,301.949776,301.8476511,301.9282916,301.8087814,301.8910596
333,301.9591317,301.8567322,301.9375974,301.8177595,301.9002698
334,301.9684906,301.8658172,301.9469064,301.8267416,301.9094836
335,301.9778525,301.874906,301.9562186,301.8357277,301.9187007
336,301.9872175,301.8839985,301.9655339,301.8447179,301.9279212
337,301.9965853,301.8930946,301.9748523,301.8537119,301.9371451
338,302.0059561,301.9021943,301.9841737,301.8627098,301.9463722
339,302.0153297,301.9112975,301.993498,301.8717115,301.9556025
340,302.024706,301.9204042,302.0028253,301.8807169,301.9648359
341,302.0340851,301.9295144,302.0121554,301.8897259,301.9740724
342,302.0434668,301.9386278,302.0214882,301.8987386,301.9833119
343,302.0528511,301.9477446,302.0308238,301.9077548,301.9925544
344,302.062238,301.9568646,302.0401621,301.9167746,302.0017999
345,302.0716273,301.9659878,302.0495029,301.9257977,302.0110481
346,302.0810191,301.9751142,302.0588464,301.9348243,302.0202992
347,302.0904133,301.9842436,302.0681923,301.9438541,302.029553
348,302.0998098,301.993376,302.0775407,301.9528873,302.0388096
349,302.1092086,302.0025114,302.0868916,301.9619236,302.0480687
350,302.1186097,302.0116497,302.0962447,301.9709631,302.0573305
