Time,101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),110 (C),111 (C),112 (C),113 (C),114 (C),115 (C),Temp,%RH
32.75,31.700254,31.695552,31.755764,31.892374,31.750514,31.732853,31.620498,31.833479,31.755822,28.548395,28.477832,27.577211,27.927397,28.939393,27.999621,27.4,21.052164
33,31.626442,31.635284,31.703669,31.840444,31.722477,31.727657,31.625694,31.82724,31.74855,28.475686,28.539128,27.593853,27.908708,28.706814,28.042195,27.4,21.166804
33.25,31.726244,31.749585,31.774519,31.914185,31.782704,31.771303,31.666222,31.860514,31.777639,28.539047,28.449782,27.631297,27.854716,28.976772,28.029734,27.4,21.281444
33.5,31.699214,31.70906,31.756806,31.898606,31.750514,31.741166,31.647517,31.862593,31.762056,28.491267,28.467443,27.609454,27.865099,28.903053,27.951854,27.4,21.281444
33.75,31.638917,31.648793,31.732843,31.85083,31.729746,31.726618,31.649595,31.849076,31.750628,28.434138,28.497572,27.612575,27.830836,29.230117,28.069194,27.4,21.396084
34,31.76159,31.751664,31.803692,31.934957,31.793088,31.767146,31.684928,31.889628,31.779717,28.4331,28.508999,27.591773,27.765423,29.061912,27.968469,27.4,21.396084
34.25,31.728323,31.727764,31.79744,31.931841,31.776474,31.773382,31.649595,31.856355,31.744395,28.393629,28.399915,27.550169,27.698971,28.921742,27.970546,27.4,21.510724
34.5,31.640996,31.659184,31.759932,31.866409,31.745322,31.742206,31.679732,31.848036,31.777639,28.406094,28.381215,27.576171,27.804878,29.042185,28.087885,27.4,21.625364
34.75,31.777184,31.776602,31.833907,31.951574,31.820086,31.77546,31.706751,31.897947,31.806729,28.314688,28.342775,27.543928,27.750886,29.213504,27.945624,27.3,21.722808
35,31.758471,31.753742,31.800566,31.931841,31.806587,31.767146,31.684928,31.883389,31.775562,28.380126,28.196291,27.543928,27.750886,28.937316,27.906165,27.3,21.837448
35.25,31.651392,31.710099,31.745345,31.901721,31.788934,31.752598,31.687006,31.883389,31.788028,28.488151,28.396798,27.548089,27.75504,28.729656,27.937317,27.3,21.952088
35.5,31.695056,31.751664,31.782854,31.911069,31.810741,31.785852,31.685967,31.87819,31.801534,28.427906,28.364592,27.543928,27.819414,28.950814,27.992352,27.3,22.066728
35.75,31.76263,31.792188,31.832865,31.953651,31.813856,31.785852,31.727535,31.896907,31.785951,28.44868,28.397837,27.537688,27.783074,28.86775,27.90305,27.3,22.066728
36,31.688818,31.690357,31.767225,31.915223,31.776474,31.796244,31.702594,31.890668,31.806729,28.387397,28.379137,27.55849,27.762308,29.021419,27.975738,27.3,22.066728
36.25,31.675303,31.695552,31.750555,31.915223,31.782704,31.752598,31.687006,31.88027,31.784912,28.343772,28.367709,27.528327,27.709354,28.823103,27.922779,27.3,22.181368
36.5,31.78758,31.774524,31.838075,31.952613,31.837739,31.803518,31.727535,31.890668,31.79634,28.417519,28.363553,27.539768,27.768538,28.908244,27.933163,27.2,22.164172
36.75,31.699214,31.717373,31.78598,31.925609,31.806587,31.798322,31.729614,31.912504,31.789067,28.422713,28.356281,27.56057,27.744657,28.82518,27.974699,27.2,22.278812
37,31.68258,31.703865,31.760974,31.894451,31.795165,31.795205,31.70779,31.898986,31.795301,28.347926,28.417576,27.549129,27.709354,28.76392,27.897858,27.2,22.278812
37.25,31.748075,31.742312,31.806818,31.941188,31.813856,31.803518,31.720261,31.910424,31.784912,28.309494,28.298103,27.514805,27.712469,28.853214,27.88955,27.2,22.278812
37.5,31.717927,31.741272,31.788063,31.938072,31.825278,31.797283,31.723378,31.922902,31.819195,28.336501,28.278364,27.526246,27.663669,29.036993,27.958085,27.2,22.278812
37.75,31.717927,31.741272,31.798482,31.932879,31.805549,31.78897,31.718182,31.892748,31.807767,28.294953,28.209796,27.504404,27.661593,28.879172,27.916549,27.2,22.393452
38,31.742877,31.754781,31.800566,31.946381,31.812818,31.78897,31.722339,31.900026,31.794262,28.211857,28.139151,27.440958,27.686512,28.769112,27.856322,27.2,22.508092
38.25,31.76159,31.749585,31.82453,31.972346,31.845008,31.81391,31.741045,31.950976,31.808806,28.32923,28.222263,27.531447,27.718699,28.703699,27.881243,27.2,22.622732
38.5,31.714808,31.746468,31.783896,31.918339,31.819048,31.785852,31.755594,31.908345,31.791145,28.263792,28.175513,27.489843,27.685474,28.900976,27.840746,27.2,22.622732
